# name: 810_data_ak.txt
# a name with spaces: 810 data ak.txt
# 
# some comments
# last line of comments
TABBLKST|TABBLKCOU|TABTRACTCE|TABBLK|TABBLKSUFX1|TABBLKSUFX2|TABBLKGRPCE|POPDEC|HOUSING|CURSTATE|CURCOUNTY|REGIONCE|DIVISIONCE|STATENS|COUNTYNS|COUNTYFS|COUSUBFP|COUSUBNS|COUSUBFS|SUBMCDFP|SUBMCDNS|CONCITFP|CONCITNS|PLACEFP|PLACENS|PLACEFS|AIANNHFP|AIANNHCE|AIANNHNS|AIHHTLI|TRIBALSUBFP|TRIBALSUBCE|TRIBALSUBNS|TTRACTCE|TBLKGRPCE|ANRCFP|ANRCNS|UACE|UATYP|UR|CD111FP|CDCURFP|VTDST|SLDUST|SLDLST|ZCTA5CE|SDELMLEA|SDSECLEA|SDUNILEA|UGACE|PUMA|LWBLKTYP|INTPTLAT|INTPTLON|AREALAND|AREAWATER|AREAWATERINLD|AREAWATERCSTL|AREAWATERGRLK|AREAWATERTSEA|CSAFP|CBSAFP|METDIVFP|PCICBSA|CNECTAFP|NECTAFP|NECTADIVFP|PCINECTA|MEMI|NMEMI|OIDTABBLK
55|011|960100|1000|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5890772|-091.5367218|1841628|3029|3029|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900516
55|011|960100|1001|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|W|+44.5849272|-091.5303293|0|55013|55013|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902194
55|011|960100|1002|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5954767|-091.5434624|23872|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902191
55|011|960100|1003|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5929089|-091.5495260|598464|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902190
55|011|960100|1004|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5865872|-091.5850359|7969515|5749|5749|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900522
55|011|960100|1005|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5957261|-091.5969014|104775|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900978
55|011|960100|1006|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5875776|-091.6105197|4496548|1843|1843|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900544
55|011|960100|1007|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5947975|-091.6273841|57775|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902111
55|011|960100|1008|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|B|+44.5698359|-091.6054162|804270|232|232|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017900523
55|011|960100|1009|||1|||||2|3|01779806|01581065|A|55450|01583777|A|99999|99999999|99999|99999999|99999|99999999|9|99999|9999|99999999|9|99999|999|99999999|999999|9|99999|99999999|99999|9|R|03||0011|031|091|54755|99999|99999|09780|99999|00700|L|+44.5733073|-091.5810595|988663|0|0|0|0|0|999|99999|99999|9|999|99999|99999|9|9|9|210404017902168
